,GJD-2450000,exptime,airmass,sky(ADU),dx(pix),dy(pix),fwhm(pix),peak(ADU),frame,flux(r=4.0),err(r=4.0),flux_comp(r=4.0),flux(r=6.0),err(r=6.0),flux_comp(r=6.0),flux(r=8.0),err(r=8.0),flux_comp(r=8.0),flux(r=10.0),err(r=10.0),flux_comp(r=10.0),flux(r=12.0),err(r=12.0),flux_comp(r=12.0),flux(r=14.0),err(r=14.0),flux_comp(r=14.0),flux(r=16.0),err(r=16.0),flux_comp(r=16.0),flux(r=18.0),err(r=18.0),flux_comp(r=18.0),Unnamed: 33
0,9206.697662999999,120.0,1.7003,3427.8,1.655,0.833,5.07,113249.7,ogg2m001-ep03-20201222-0051-e91,0.971457,0.001396,3260800,1.003192,0.001408,3980554,1.004224,0.0014789999999999998,4253402,1.002791,0.001603,4383619,1.002749,0.0017530000000000002,4457211,1.003836,0.001927,4499227,1.004682,0.002111,4526857,1.004694,0.002307,4546265,
1,9206.699112999999,120.0,1.6866,2447.8,1.062,0.8420000000000001,4.89,113645.9,ogg2m001-ep03-20201222-0052-e91,0.9706049999999999,0.0013310000000000002,3405181,1.000879,0.001335,4058501,1.001751,0.001385,4295101,1.001785,0.0014810000000000001,4411282,1.0015399999999999,0.001598,4476243,1.001681,0.001738,4514973,1.0016690000000001,0.0018850000000000002,4540993,1.001818,0.0020440000000000002,4561025,
2,9206.700552,120.0,1.6733,1849.7,1.422,1.0659999999999998,4.96,113466.5,ogg2m001-ep03-20201222-0053-e91,0.9779190000000001,0.001318,3386996,1.003336,0.0013039999999999998,4055457,1.004415,0.001335,4296244,1.003495,0.001408,4414576,1.003166,0.001503,4481432,1.002253,0.0016190000000000002,4521442,1.00216,0.0017420000000000003,4548169,1.002052,0.001875,4566741,
3,9206.702002,120.0,1.6602,1459.0,1.042,1.026,4.99,113620.6,ogg2m001-ep03-20201222-0054-e91,0.968621,0.001314,3311965,1.001047,0.001291,4002956,1.00251,0.001308,4265609,1.002617,0.001368,4394873,1.001573,0.001448,4467184,1.0020229999999999,0.001551,4511091,1.003015,0.0016579999999999998,4540408,1.003468,0.001775,4561784,
4,9206.703464,120.0,1.6473,1218.0,1.614,1.043,5.11,112840.6,ogg2m001-ep03-20201222-0055-e91,0.9695870000000001,0.001306,3304398,1.001962,0.001273,4011189,1.002211,0.00128,4275573,1.001164,0.0013289999999999999,4403948,1.001954,0.001399,4475125,1.002177,0.001489,4518062,1.001709,0.001583,4546102,1.000833,0.001686,4566060,
5,9206.704915,120.0,1.6348,1063.3,0.745,1.217,5.05,113356.1,ogg2m001-ep03-20201222-0056-e91,0.9655219999999999,0.001299,3295127,0.9990610000000001,0.0012640000000000001,4004870,1.000973,0.001267,4272307,1.001033,0.001312,4402250,1.0015690000000002,0.001376,4475827,1.0020200000000001,0.0014609999999999998,4519761,1.00213,0.0015480000000000001,4548126,1.002597,0.001645,4569162,
6,9206.706365,120.0,1.6225,965.5,1.426,0.813,5.26,112714.5,ogg2m001-ep03-20201222-0057-e91,0.9723959999999999,0.001301,3288560,1.000151,0.001256,4011807,1.0,0.001253,4280056,0.999172,0.0012929999999999999,4407946,0.998925,0.001352,4479722,0.999027,0.0014320000000000001,4522429,0.999081,0.001513,4551061,0.998915,0.001604,4571336,
7,9206.707815,120.0,1.6105,906.5,0.835,1.295,4.82,113571.4,ogg2m001-ep03-20201222-0058-e91,0.985233,0.0012720000000000001,3461086,1.000478,0.001233,4129305,1.001088,0.0012380000000000002,4338133,1.0009700000000001,0.00128,4440822,1.00128,0.001338,4499096,1.001558,0.001416,4534755,1.001827,0.001495,4558055,1.001927,0.001582,4575352,
8,9206.709254000001,120.0,1.5988,864.4,0.987,1.2009999999999998,4.75,113777.3,ogg2m001-ep03-20201222-0059-e91,0.990706,0.001259,3535001,1.002337,0.001225,4165961,1.003218,0.001232,4355845,1.002338,0.001273,4450826,1.0016,0.0013289999999999999,4505110,1.001801,0.001405,4537535,1.002117,0.001483,4559543,1.002349,0.001568,4576283,
9,9206.710704000001,120.0,1.5873,837.4,0.772,1.061,4.67,113673.6,ogg2m001-ep03-20201222-0060-e91,1.003352,0.001267,3527803,1.003778,0.001224,4171862,1.004464,0.001231,4357375,1.004429,0.001273,4452437,1.0042280000000001,0.0013289999999999999,4506791,1.004473,0.001405,4540326,1.00445,0.001482,4562597,1.004191,0.0015660000000000001,4579582,
